0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:24:33 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:25:23 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:25:23 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:26:03 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:26:03 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:26:06 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:26:22 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:26:22 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:27:06 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:27:06 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:28:00 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:28:00 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:28:28 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3013
